,X_O2
0,0.04499999989154197
1,0.04499999919084069
2,0.04499999692599959
3,0.044999991409586576
4,0.044999980605921634
5,0.04499996258779294
6,0.0449999381380027
7,0.04499990332404142
8,0.04499985716013834
9,0.04499980594043725
10,0.04499972856152065
11,0.0449996494073294
12,0.044999541227724836
13,0.044999407820509166
14,0.04499922412197256
15,0.04499897467393051
16,0.04499859893910628
17,0.044997886724767
18,0.04499653719463971
19,0.04499443753875368
20,0.04499161236762656
21,0.044989299619493
22,0.044987483234555516
23,0.044984767306543716
24,0.04498099282310676
25,0.04497822716688818
26,0.04497420956803952
27,0.04497074305763977
28,0.04496670681310587
29,0.0449627274997389
30,0.04496044898552756
31,0.04495894285841479
32,0.04495807591783371
33,0.04495736367771922
34,0.04495627997346813
35,0.04495298083579368
36,0.0449490026622897
37,0.04494382533893334
38,0.04494202647234197
39,0.04494058132682993
40,0.04493845044836079
41,0.04493656645191767
42,0.04493564677821677
43,0.04493524641647381
44,0.04493507388784759
45,0.04493499460347373
46,0.044934957930011225
47,0.0449349485615618
48,0.04493494638405272
49,0.04493494611839509
